group_name,team_name,played,win,draw,loss,gf,ga,gd,points,rank,is_leader,position
A,Mexico,0,0,0,0,0,0,0,0,1,,1
A,South Africa,0,0,0,0,0,0,0,0,1,,1
A,South Korea,0,0,0,0,0,0,0,0,1,,1
A,Czechia,0,0,0,0,0,0,0,0,1,,1
B,Canada,0,0,0,0,0,0,0,0,1,,1
B,Qatar,0,0,0,0,0,0,0,0,1,,1
B,Switzerland,0,0,0,0,0,0,0,0,1,,1
B,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,1,,1
C,Brazil,0,0,0,0,0,0,0,0,1,,1
C,Morocco,0,0,0,0,0,0,0,0,1,,1
C,Scotland,0,0,0,0,0,0,0,0,1,,1
C,Haiti,0,0,0,0,0,0,0,0,1,,1
D,United States,0,0,0,0,0,0,0,0,1,,1
D,Paraguay,0,0,0,0,0,0,0,0,1,,1
D,Australia,0,0,0,0,0,0,0,0,1,,1
D,Turkey,0,0,0,0,0,0,0,0,1,,1
E,Germany,0,0,0,0,0,0,0,0,1,,1
E,Ivory Coast,0,0,0,0,0,0,0,0,1,,1
E,Equador,0,0,0,0,0,0,0,0,1,,1
E,Curacao,0,0,0,0,0,0,0,0,1,,1
F,Netherlands,0,0,0,0,0,0,0,0,1,,1
F,Japan,0,0,0,0,0,0,0,0,1,,1
F,Tunusia,0,0,0,0,0,0,0,0,1,,1
F,Sweden,0,0,0,0,0,0,0,0,1,,1
G,Belgium,0,0,0,0,0,0,0,0,1,,1
G,Egypt,0,0,0,0,0,0,0,0,1,,1
G,Iran,0,0,0,0,0,0,0,0,1,,1
G,New Zeland,0,0,0,0,0,0,0,0,1,,1
H,Spain,0,0,0,0,0,0,0,0,1,,1
H,Saudi Arabia,0,0,0,0,0,0,0,0,1,,1
H,Uruguay,0,0,0,0,0,0,0,0,1,,1
H,Cape Verde,0,0,0,0,0,0,0,0,1,,1
I,France,0,0,0,0,0,0,0,0,1,,1
I,Senegal,0,0,0,0,0,0,0,0,1,,1
I,Norway,0,0,0,0,0,0,0,0,1,,1
I,Iraq,0,0,0,0,0,0,0,0,1,,1
J,Argentina,0,0,0,0,0,0,0,0,1,,1
J,Algeria,0,0,0,0,0,0,0,0,1,,1
J,Austria,0,0,0,0,0,0,0,0,1,,1
J,Jordan,0,0,0,0,0,0,0,0,1,,1
K,Portugal,0,0,0,0,0,0,0,0,1,,1
K,Uzbekistan,0,0,0,0,0,0,0,0,1,,1
K,Colombia,0,0,0,0,0,0,0,0,1,,1
K,Democratic Republic of the Congo,0,0,0,0,0,0,0,0,1,,1
L,England,0,0,0,0,0,0,0,0,1,,1
L,Crotia,0,0,0,0,0,0,0,0,1,,1
L,Panama,0,0,0,0,0,0,0,0,1,,1
L,Ghana,0,0,0,0,0,0,0,0,1,,1
